QID,Label,Description
Q3366294,Christian Heritage Party of Canada,Canadian federal political party
Q3366300,National Integration Party,political party in Costa Rica
Q3366331,New Turkey Party,a political party in Turkey
Q3366359,Party of New Forces,French far-right political party
Q3366434,National Democratic Party,political party in Morocco
Q3366437,Democratic Independence Party,Political party in Morocco
Q3366460,Frontist Party,
Q3366484,Partido Liberal,Brazilian political party (1837-1889)
Q3366492,Liberal Party of Newfoundland and Labrador,"political party in Newfoundland and Labrador, Canada"
Q3366517,Montenegrin Party,
Q3366523,National Party (Colombia),Defunct political party in Colombia
Q3366589,Pirate Party,Tunisian political party
Q3366608,Populist Party,political party in France
Q3366640,Progressive Democratic Party of Guadeloupe,
Q3366643,Parti présidentiel,
Q3366660,Liberal Reform Party,Australian political party
Q3366680,Republican Party of Angola,Anti-corruption political party in Angola
Q3366689,Parti républicain libéral,
Q3366750,Socialist Party of Canada,"political party of Canada, 1904–1925"
Q3366817,Green Party of Iran,Iranian opposition party
Q3368718,pathologist,physician with medical specialty pathology
Q3374321,Peintre des armées en France,
Q3376065,proviseur,position
Q3378122,Scania Party,Swedish political party
Q3380905,Salafi jihadism,transnational religious-political ideology
Q3381154,Psychological sociology,area of sociology focused on social actions
Q3388483,Pilote,
Q3392544,military diver,
Q3395201,Democratic Party of the New Left,
Q3395237,,
Q3395547,Círculo Doctrinal José Antonio,
Q3398554,Galician League,
Q3399870,,
Q3400985,academic,person who works as a teacher or researcher at a university or other higher education institution
Q3401082,war poet,poet involved in or associated with a war
Q3406828,lower secondary school teacher,
Q3410140,psychosociology,
Q3416470,,
Q3419920,National Rally for Democracy,
Q3421999,Siudi,"village development committee in Seti Zone, Nepal"
Q3422561,academy rector,academic administrator position in France
Q3423696,,
Q3443091,Greens,Montenegrin separatist group
Q3443132,Rouen,Wikimedia disambiguation page
Q3445459,Green List,political party in Croatia
Q3446186,Kingdom of Kuku,
Q3446210,Kingdom of Pamplona,former country in Europe
Q3460020,1922 Brazilian presidential election,
Q3473575,Sardinian,Breed of domestic sheep from the island Sardinia
Q3478805,business journalist,journalist who works for an organization and actively supports his objectives
Q3480281,Sheikhdom of Kuwait,"sheikhdom in the Arabian peninsula (1752-1961), precursor of Kuwait"
Q3485549,manual work,physical work done by people
Q3488539,,
Q3488719,2008 Czech Senate election,
Q3489438,Solidarity and Progress,French political party
Q3489727,Greens Party,political party in Georgia
Q3490215,Satmar,Hassidic dynasty
Q3493888,Sport Chanbara,modern japanese martial art
Q3493950,2008 Czech presidential election,
Q3496803,1996 Cypriot legislative election,
Q3498258,Party of Civic Understanding,
Q3502507,Subedar,"junior commissioned rank in the Indian Army, equivalent to NATO OR-8"
Q3505362,,
Q3522601,Mahajana Eksath Peramuna,
Q3523784,Tamil Eelam Liberation Organization,
Q3526736,combinatorial group theory,"theory of free groups, and the concept of a presentation of a group by generators and relations."
Q3527294,,
Q3529376,marksman,person who is skilled in precision shooting
Q3531196,Gaud Saraswat Brahmin,Hindu Brahmin community in India and a part of the larger Saraswat Brahmin community
Q3532217,1957 Indian general election,
Q3532250,1967 Indian general election,4th General Elections of India
Q3535147,Burmese Indians,ethnic community
Q3535317,People's Liberation Organisation of Tamil Eelam,
Q3535349,Eelam Revolutionary Organisation,Revolutionary Left movement in Sri Lanka former Tamil militant group in Sri Lanka and
Q3538808,Scaptia tribe,one of the 35 Roman voting tribes
Q3540989,Trooper,"military rank, typical to cavalry in British and Commonwealth armies"
Q3541364,,
Q3545706,KALIBAPI,Filipino political party
Q3549297,,
Q3550065,Constitutional Union,liberal-conservative political party in Morocco
Q3550188,Union of Congolese Patriots,political party in the Democratic Republic of the Congo
Q3550258,Chadian Democratic Union,Chad political party (1990–)
Q3550401,Pan-African Union for Social Democracy,political party
Q3550414,Union for France,
Q3550421,,
Q3550440,,
Q3551895,Valencian Regional Union,
Q3555519,Presbyterian Church in America,conservative Reformed Christian denomination in the United States and Canada
Q3555971,Jules Verne specialist,
Q3556135,Toward North,
Q3557236,Gambia Colony and Protectorate,British colony and protectorate in Africa from 1821 until 1965
Q3560660,United Panhellenic Organization of Youth,Youth wing of the Greek National Liberation Front
Q3561034,Vision Montreal,
Q3561254,Greek Ecologists,
Q3563354,Greek Rally,Defunct political party in Greece
Q3567287,Cebuano people,subgroup of the Visayan people
Q3573855,Castilians,certain inhabitants in regions of central Spain
Q3577354,,
Q3579160,newspaper publisher,company that publishes newspapers or other periodical publications
Q3579163,scientific editor,
Q3586083,Presbyterian Church of Brazil,Evangelical Protestant Christian denomination in Brazil
Q3586508,1984 Algerian presidential election,Algerian elections for 1984
Q3586511,1999 Algerian presidential election,
Q3586539,2009 South African presidential election,
Q3586544,2002 Republic of the Congo presidential election,
Q3586564,French presidential election 1887,
Q3586568,1947 French presidential election,
Q3586614,1985 Ivorian presidential election,
Q3586618,2015 Ivorian presidential election,
Q3586620,2008 Maldivian presidential election,2008 presidential election in the Maldives
Q3586624,2002 Malian presidential election,
Q3586639,2006 Chadian presidential election,
Q3586878,1917 Australian federal election,
Q3586881,1922 Australian federal election,
Q3586899,1974 Australian federal election,
Q3586934,2005 Bolivian general election,
Q3586935,2015 United Kingdom general election,election of members to the House of Commons in 2015
Q3587191,1892 Japanese general election,general election in Japan held in 1892
Q3587552,,
Q3589292,women letter writer,
Q3589476,Team Labeaume,
Q3595134,Kerala Congress,Political party of India
Q3595599,Left Democratic Front,political coalition in Kerala
Q3607864,Albania Satrapy,satrapy of the Sassanid Empire
Q3610436,personal stylist,person who selects or recommends clothing and accessories for a client
Q3612389,Sammarinese National Alliance,political party in San Marino
Q3621345,volleyball referee,
Q3622212,Republican Party of Moldova,political party in Moldova
Q3623619,Rally for Democracy and Progress,political party in Chad
Q3624751,Asian Brazilian,Brazilians of asian descent
Q3631273,consistorial lawyer,professional with the task of advocating cases before the Holy See and the Roman Curia
Q3634106,General Liberation and Development Party,Surinamese political party
Q3640980,National Bloc of Freedom,Monarchist party in post-war Italy
Q3644646,Brigade RISTA - Electronic Warfare Intelligence,command of the Electronic Warfare units of Italian Army intelligence organization
Q3644666,partisan brigade,italian resistance brigades
Q3648523,People's Party of Abkhazia,political party
Q3656955,employment counsellor,job
Q3674482,Elim Pentecostal Church,
Q3674950,People's Labor Party,former political party in Turkey
Q3705337,National Democracy,
Q3719391,sheet music publisher,publishers who issued printed sheet music
Q3722824,2000 Apulian regional election,
Q3722827,2000 Venetian regional election,
Q3722851,2010 Campania regional election,
Q3722853,2010 Lazio regional election,
Q3722863,2010 Umbrian regional election,
Q3738536,National Radical Camp Falanga,Polish political group
Q3739119,Communist Party,political party in Serbia
Q3742121,,
Q3752198,Socialist Youth of Spain,
Q3766177,videographer,person who works in the field of videography
Q3773588,Kurdistan Socialist Democratic Party,political party
Q3774492,National Islamic Front,
Q3776744,Farmers' Party,Irish political party
Q3777498,Group of the Party of European Socialists,
Q3789906,solutions architect,
Q3796984,farmer,formal description of farmer in Italian law
Q3798668,aerospace engineering,branch of engineering
Q3813950,katib,Arab scribe
Q3845763,Margravate of Mantua,former italian state (1433-1530)
Q3859785,Aristocrat,Japanese street fashion
Q3866576,Movimento Cristiano Lavoratori,
Q3866613,National Social Movement,
Q3866646,Movement for the Left,political party in Italy
Q3896652,Partido Verde,Wikimedia disambiguation page
Q3896752,Italian Democratic Party,Defunct political party in Italy
Q3896803,Radical Party,"political party in Italy, 1877–1921"
Q3896817,Unified PSI–PSDI,Confederation of Socialist parties
Q3896850,Partito di unità proletaria per il comunismo,
Q3899958,industrial engineer,Italian type of technician who has obtained an academic degree or a diploma from a technical high school
Q3915245,2013 United States Senate special election in Massachusetts,
Q3920216,Party of Peaceful Renovation,political party
Q3921039,Master of the Horse,position of varying importance in several European nations
Q3932371,Religioso,Wikimedia disambiguation page
Q3950856,Saturno,male given name
Q3961877,Yugoslav Left,
Q3962719,Slave Raider,
Q3964238,Soldiers of fortune,
Q3964987,soubrette,entertainer
Q4002666,military physician,physician who works for the military
Q4005613,National Union for the Future of Monaco,Political party in Monaco
Q4009406,sprinter,sportsperson taking part in running competitions up to a distance of 400 meters
Q4057240,,
Q4060624,Alga,political party in Kazakhstan (2004-2012)
Q4075906,Baku Commune,group of humans
Q4115013,law degree,academic degree conferred for studies in law
Q4115484,Concerned Citizens' Movement,political party in Saint Kitts and Nevis
Q4116214,accounting,"measurement, processing and communication of financial information about economic entities"
Q4119853,2008 Lebanese presidential election,
Q4122737,Vogt,title of overlordship or nobility in the Holy Roman Empire
Q4128599,1984 Soviet Union legislative election,
Q4128703,1996 Moldovan presidential election,
Q4128973,,
Q4131845,Haitians,citizens or residents of Haiti
Q4146576,Fourth State Duma of the Russian Empire,
Q4146895,Yaushev State Music Theater,"opera house in Saransk, Mordovia, Russia"
Q4147015,,
Q4147532,Civil Position,political party in Ukraine
Q4147589,Soviet citizenship,historical citizenship of the Soviet Union
Q4157658,Democratic Centre,political party in Latvia (1922—1934)
Q4162555,fish fin,bony skin-covered spines or rays protruding from the body of a fish by SC
Q4171445,landed gentry,"largely historical British social class, consisting of land owners who could live entirely off rental income"
Q4177780,Red Flag Party,political party in Venezuela
Q4182927,stockbroker,professional  who buys and sells shares and other securities for both retail and institutional clients
Q4198947,Dukun,
Q4204239,research participant,person who participates in human subject research by being the target of observation by researchers
Q4219069,,
Q4229699,,
Q4231235,Conservative Party of Russia,
Q4263842,literary critic,cultural journalist who reviews new literary books
Q4272951,Lamido,Nigeria traditional title
Q4286169,,Wikimedia disambiguation page
Q4287202,Medal of Francysk Skaryna,civil decoration of Belarus
